Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 3.6667, 5.0000, 0.0064, 0.0000, 18.3000, 0.0000, -749.5500, 1498.7244, 11.0000, 26.0000, 0.0017, 0.7037, 109.7394, 0.7547, 0.1447, 0.0000, 0.0629, 6.8345, 1.3333, 13.0000, 3.1000, 90.9900, 7.8500, 1.3133, 18.0923, 91.1250, 0.0000, 0.0692, 0.8519
2, 28, 3.9750, 4.0000, 0.0013, 0.0268, 8.2000, 0.3500, -591.9300, 1704.3153, 11.0000, 20.5000, 0.0003, 0.4884, 103.3592, 0.7983, 0.1602, 25.0000, 0.0472, 9.5720, 1.5833, 7.3417, 5.5000, 52.5850, 8.4500, 10.8933, 14.0537, 96.7500, 5.0000, 0.0157, 0.6667
3, 702, 4.0556, 4.0000, 0.0007, 0.0221, 8.5000, 0.4167, -517.9900, 2282.5390, 8.5000, 18.0000, 0.0003, 0.5965, 107.7255, 0.8009, 0.1580, 18.0000, 0.0363, 9.2027, 1.6852, 6.9722, 7.2000, 45.9983, 9.9300, 11.3152, 15.3481, 92.8286, 8.0000, 0.0190, 0.7193
4, 1338, 4.0870, 4.0000, 0.0008, 0.0198, 6.4000, 0.4457, -532.4400, 2260.8943, 8.5000, 18.4000, 0.0006, 0.5258, 119.0350, 0.7628, 0.1700, 27.0000, 0.0336, 9.2569, 1.5217, 6.4130, 3.1000, 59.4199, 8.6200, 9.5425, 13.0122, 84.0089, 4.0000, 0.0474, 0.6804
5, 1847, 3.7204, 4.0000, 0.0007, 0.0241, 6.9000, 0.4409, -904.8100, 1722.3878, 15.0000, 31.0000, 0.0004, 0.4896, 195.3125, 0.8008, 0.1670, 19.0000, 0.0121, 9.5546, 1.6452, 6.3548, 6.4000, 36.1894, 9.2900, 15.9129, 20.1419, 51.2000, 4.0000, 0.0080, 0.6250
6, 2347, 3.8430, 4.0000, 0.0005, 0.0318, 7.3000, 0.3767, -811.8700, 2267.5236, 14.0000, 27.8750, 0.0002, 0.4589, 150.2970, 0.7826, 0.1658, 45.0000, 0.0352, 10.3593, 1.4978, 6.8834, 3.1000, 51.8316, 8.5100, 12.9548, 16.1724, 66.5349, 12.0000, 0.0189, 0.5887
7, 3514, 3.7773, 4.0000, 0.0004, 0.0388, 7.8000, 0.4008, -798.4700, 2434.7942, 11.5000, 27.4444, 0.0001, 0.4252, 152.2103, 0.7922, 0.1628, 49.0000, 0.0357, 10.6635, 1.5506, 6.9919, 5.0000, 47.7975, 8.5400, 13.4105, 17.1316, 65.6986, 17.0000, 0.0062, 0.5512
8, 4807, 3.9043, 4.0000, 0.0004, 0.0361, 6.4000, 0.3739, -690.9200, 2760.3909, 6.0000, 23.7500, 0.0001, 0.4975, 114.4065, 0.7779, 0.1731, 16.0000, 0.0365, 10.0326, 1.5391, 7.2348, 5.1000, 62.0339, 8.3400, 8.1780, 14.7632, 87.4077, 10.0000, 0.0167, 0.6294
9, 5391, 3.8133, 4.0000, 0.0012, 0.0267, 6.2000, 0.4933, -2562.7100, 1786.3632, 43.0000, 87.0000, 0.0003, 0.5909, 129.1322, 0.7982, 0.1720, 20.0000, 0.0115, 8.9313, 1.4667, 5.3867, 8.8000, 6.6300, 11.9000, 30.9667, 39.3977, 77.4400, 6.0000, 0.0000, 0.7273
10, 5769, 3.8302, 4.0000, 0.0037, 0.0456, 7.8000, 0.3774, -378.1900, 1371.5554, 4.5000, 13.2500, 0.0011, 0.5091, 152.0661, 0.7909, 0.1597, 12.0000, 0.0608, 8.4485, 1.4151, 6.8302, 8.1000, 73.6693, 8.6000, 6.2756, 10.5830, 65.7609, 1.0000, 0.0000, 0.7091
11, 6035, 3.7389, 3.0000, 0.0007, 0.0329, 5.7000, 0.3941, -739.7700, 1579.6018, 13.5000, 25.3750, 0.0002, 0.3828, 124.0814, 0.7699, 0.1753, 44.0000, 0.0408, 10.5756, 1.3892, 6.5665, 6.0000, 63.5562, 7.8400, 10.6984, 14.0909, 80.5923, 8.0000, 0.0219, 0.5550
12, 7042, 3.9262, 4.0000, 0.0004, 0.0368, 6.6000, 0.3960, -869.6200, 2406.6599, 11.5000, 29.8000, 0.0003, 0.5563, 94.7327, 0.7844, 0.1692, 23.0000, 0.0450, 9.5547, 1.4161, 7.1812, 3.1000, 56.7853, 8.1500, 12.7421, 16.4838, 105.5602, 8.0000, 0.0082, 0.6887
13, 7778, 4.1176, 4.0000, 0.0006, 0.0516, 8.2000, 0.3369, -908.1000, 2056.3668, 11.0000, 31.1667, 0.0002, 0.4817, 90.4580, 0.7777, 0.1600, 30.0000, 0.0408, 9.9943, 1.4278, 7.9144, 6.4000, 54.4083, 9.1500, 13.4131, 18.2421, 110.5485, 5.0000, 0.0086, 0.6335
14, 8712, 4.0616, 4.0000, 0.0006, 0.0443, 7.6000, 0.3412, -767.0200, 1858.2841, 13.0000, 26.3750, 0.0001, 0.4605, 101.6766, 0.7757, 0.1636, 36.0000, 0.0327, 10.1957, 1.4123, 7.8531, 5.1000, 60.5819, 7.8100, 11.3617, 14.9102, 98.3511, 4.0000, 0.0154, 0.6093
15, 9754, 4.3409, 3.0000, 0.0004, 0.0367, 5.9000, 0.3750, -856.7300, 2259.6930, 9.0000, 29.3333, 0.0001, 0.5495, 82.7195, 0.7663, 0.1741, 33.0000, 0.0515, 9.7225, 1.3920, 7.0284, 5.5000, 59.2946, 8.0400, 12.2761, 15.8242, 120.8905, 3.0000, 0.0229, 0.6758
16, 10630, 4.0845, 4.0000, 0.0004, 0.0267, 7.9000, 0.3873, -686.4700, 3035.4441, 10.5000, 23.6667, 0.0002, 0.5878, 116.8736, 0.8041, 0.1616, 21.0000, 0.0293, 9.5043, 1.6197, 6.8732, 3.1000, 45.7852, 8.9700, 12.7527, 16.5089, 85.5625, 14.0000, 0.0076, 0.6959
17, 11419, 3.9916, 4.0000, 0.0007, 0.0237, 8.0000, 0.4202, -572.9700, 2150.6056, 13.0000, 19.8333, 0.0002, 0.5484, 127.4714, 0.8092, 0.1612, 16.0000, 0.0296, 9.4835, 1.5546, 6.9412, 3.1000, 55.1832, 9.0800, 10.4895, 14.3199, 78.4490, 3.0000, 0.0059, 0.6774
18, 12098, 4.2941, 4.0000, 0.0009, 0.0215, 9.9000, 0.3647, -822.1200, 2332.3919, 15.0000, 28.3333, 0.0004, 0.5795, 121.3843, 0.8125, 0.1504, 14.0000, 0.0352, 8.9845, 1.7176, 7.5765, 8.8000, 32.7637, 9.3500, 15.7282, 20.2745, 82.3830, 7.0000, 0.0117, 0.7159
