Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 4.0000, 5.0000, 0.0162, 0.0000, 30.9000, 0.0000, -513.0700, 626.2472, 12.0000, 18.0000, 0.0058, 0.4211, 387.8116, 0.8261, 0.1478, 0.0000, 0.0174, 6.6466, 2.0000, 16.0000, 14.6000, 36.6200, 9.5200, 8.4000, 11.6444, 25.7857, 4.0000, 0.0000, 0.6842
2, 14, 3.7534, 4.0000, 0.0016, 0.0264, 8.8000, 0.4521, -531.9800, 1614.0244, 10.5000, 18.5000, 0.0005, 0.4359, 230.1118, 0.8167, 0.1578, 18.0000, 0.0116, 9.4571, 1.5342, 6.0411, 7.2000, 58.5140, 9.0100, 9.6316, 12.8054, 43.4571, 9.0000, 0.0000, 0.6026
3, 434, 4.2222, 4.0000, 0.0003, 0.0269, 10.0000, 0.3768, -749.3000, 2081.4806, 15.5000, 25.8750, 0.0002, 0.4673, 138.0033, 0.8220, 0.1511, 39.0000, 0.0151, 10.3022, 1.6957, 7.1981, 6.0000, 37.1197, 9.2000, 14.5099, 19.2389, 72.4620, 23.0000, 0.0000, 0.5935
4, 1628, 4.1067, 5.0000, 0.0005, 0.0153, 9.7000, 0.4533, -1093.7300, 1783.7862, 21.5000, 37.5000, 0.0002, 0.4935, 123.9669, 0.8324, 0.1522, 38.0000, 0.0044, 9.9067, 1.7733, 6.4400, 6.0000, 18.7485, 10.3200, 19.9603, 24.0667, 80.6667, 16.0000, 0.0000, 0.6299
5, 2544, 4.6143, 4.0000, 0.0005, 0.0388, 10.9000, 0.3524, -759.3300, 1950.1216, 13.0000, 26.2500, 0.0001, 0.4348, 111.1531, 0.7835, 0.1470, 50.0000, 0.0315, 10.4018, 1.7000, 7.8381, 6.6000, 36.3713, 9.3300, 14.7075, 18.6905, 89.9660, 19.0000, 0.0299, 0.5826
6, 3785, 4.6118, 5.0000, 0.0012, 0.0192, 10.5000, 0.4471, -821.4500, 1480.8838, 16.0000, 28.3333, 0.0004, 0.5682, 98.1405, 0.8330, 0.1478, 27.0000, 0.0058, 8.9313, 1.7529, 6.8824, 9.7000, 29.7778, 10.7800, 16.1447, 21.2157, 101.8947, 10.0000, 0.0000, 0.7273
7, 4309, 4.4468, 5.0000, 0.0007, 0.0246, 11.2000, 0.3617, -677.4400, 2141.8390, 13.5000, 23.5000, 0.0004, 0.6082, 87.1506, 0.8310, 0.1444, 19.0000, 0.0123, 8.9559, 1.7447, 8.2128, 8.1000, 35.3825, 10.3400, 14.1622, 17.4851, 114.7439, 13.0000, 0.0000, 0.7423
8, 4880, 3.5333, 4.0000, 0.0007, 0.0398, 11.8000, 0.3556, -1313.0000, 2436.2640, 23.0000, 45.0000, 0.0010, 0.6087, 434.7826, 0.8207, 0.1394, 4.0000, 0.0199, 8.2433, 1.8889, 5.6222, 11.2000, 1.3600, 10.6700, 24.2489, 29.5556, 23.0000, 5.0000, 0.0000, 0.6957
9, 5134, 4.6353, 5.0000, 0.0008, 0.0172, 9.8000, 0.4471, -612.6100, 2323.8483, 12.5000, 21.2500, 0.0002, 0.7159, 67.1488, 0.8241, 0.1511, 29.0000, 0.0172, 8.5476, 1.7412, 7.2000, 6.0000, 37.9627, 9.3600, 13.2434, 16.5000, 148.9231, 11.0000, 0.0076, 0.8182
10, 5660, 4.1071, 4.0000, 0.0015, 0.0314, 8.1000, 0.4286, -814.5300, 1966.0412, 15.0000, 28.0000, 0.0004, 0.4741, 111.4744, 0.8017, 0.1603, 31.0000, 0.0132, 9.5539, 1.6161, 7.2500, 7.2000, 41.6954, 8.4300, 14.3996, 18.7000, 89.7067, 11.0000, 0.0066, 0.6552
