Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 2.5000, 4.0000, 0.0125, 0.0000, 12.0000, 0.0000, -547.8400, 883.3317, 8.5000, 19.0000, 0.0042, 0.6000, 200.0000, 0.8037, 0.1682, 0.0000, 0.0280, 6.4205, 0.5000, 16.0000, 8.8000, 162.5050, 9.3200, -8.9100, 11.8105, 50.0000, 1.0000, 0.0000, 0.8000
2, 17, 4.1524, 4.0000, 0.0012, 0.0316, 7.5000, 0.3429, -619.7000, 1588.7618, 9.0000, 21.4000, 0.0003, 0.4911, 146.6837, 0.8038, 0.1655, 29.0000, 0.0188, 9.5435, 1.2286, 7.8190, 5.7000, 81.5829, 8.5000, 7.0971, 11.1768, 68.1739, 4.0000, 0.0000, 0.6518
3, 589, 4.3399, 4.0000, 0.0002, 0.0344, 10.8000, 0.3137, -737.1500, 2738.7940, 12.0000, 25.5000, 0.0002, 0.5414, 116.0290, 0.8142, 0.1468, 35.0000, 0.0218, 9.7605, 1.6013, 7.8039, 5.5000, 45.4819, 10.1300, 13.2504, 17.7817, 86.1853, 16.0000, 0.0046, 0.6561
4, 1464, 4.7261, 4.0000, 0.0004, 0.0261, 7.0000, 0.3696, -627.6800, 2124.0181, 8.5000, 21.6429, 0.0001, 0.4462, 116.9684, 0.8011, 0.1674, 53.0000, 0.0115, 10.4564, 1.3927, 7.2376, 3.1000, 67.0418, 8.3600, 9.2850, 12.4855, 85.4932, 15.0000, 0.0055, 0.5823
5, 3116, 4.4250, 4.0000, 0.0018, 0.0550, 10.2000, 0.2875, -772.3600, 1815.4110, 12.5000, 26.6667, 0.0005, 0.5542, 121.9335, 0.7919, 0.1483, 12.0000, 0.0096, 8.8913, 1.4000, 8.2625, 6.4000, 61.3283, 9.5200, 11.3300, 15.6667, 82.0119, 6.0000, 0.0048, 0.7229
6, 3537, 4.1389, 4.0000, 0.0011, 0.0308, 8.5000, 0.3333, -695.5200, 1710.6664, 12.0000, 24.0000, 0.0006, 0.5270, 168.0058, 0.8021, 0.1568, 11.0000, 0.0257, 8.9901, 1.5000, 8.3333, 8.8000, 55.5750, 10.1600, 11.4700, 15.1556, 59.5217, 5.0000, 0.0103, 0.6757
7, 3929, 4.3750, 4.0000, 0.0012, 0.0469, 9.7000, 0.2604, -930.8300, 1977.8842, 14.0000, 32.0000, 0.0004, 0.5521, 141.0590, 0.7816, 0.1510, 12.0000, 0.0490, 9.1577, 1.3333, 8.9583, 3.1000, 61.5550, 9.9900, 12.6233, 16.1333, 70.8923, 5.0000, 0.0163, 0.6979
8, 4422, 4.4147, 4.0000, 0.0004, 0.0390, 8.4000, 0.3318, -788.2900, 2238.7315, 11.5000, 27.1250, 0.0002, 0.4685, 120.5259, 0.7857, 0.1594, 55.0000, 0.0354, 10.2752, 1.3733, 8.2995, 6.6000, 63.1243, 9.1100, 11.1934, 15.4583, 82.9697, 14.0000, 0.0142, 0.5991
9, 5554, 4.0649, 4.0000, 0.0008, 0.0569, 11.2000, 0.2857, -741.5700, 1949.0817, 11.5000, 25.6667, 0.0003, 0.4125, 202.3438, 0.7809, 0.1448, 20.0000, 0.0334, 10.3871, 1.3896, 9.4545, 7.8000, 63.2223, 8.8600, 10.8174, 14.4225, 49.4208, 9.0000, 0.0173, 0.5625
10, 6365, 3.5301, 4.0000, 0.0015, 0.0773, 11.4000, 0.2530, -595.6800, 1451.9048, 12.0000, 20.7500, 0.0007, 0.4286, 263.6054, 0.7609, 0.1425, 20.0000, 0.0507, 9.6665, 1.3253, 9.6747, 9.7000, 73.6533, 8.6100, 8.1411, 12.6373, 37.9355, 7.0000, 0.0193, 0.5833
