Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 4.0000, 4.0000, 0.0000, 0.0417, 7.2000, 0.0000, -325881.3300, 2106.3279, 15.0000, 11010.0000, 0.0000, 0.1548, 124.0974, 0.8022, 0.1616, 0.0000, 0.0285, 10.8611, 1.2000, 9.0000, 15.9000, 105.3026, 552.1600, -1.4252, 4409.7522, 80.5818, 641.0000, 0.0045, 0.2458
2, 27, 4.0673, 4.0000, 0.0010, 0.0347, 5.8000, 0.3846, -1063.8500, 1679.0087, 18.5000, 36.3333, 0.0007, 0.4505, 173.6872, 0.7743, 0.1761, 12.0000, 0.0440, 9.6589, 1.4423, 7.0385, 7.8000, 49.6291, 8.4300, 14.9492, 20.4049, 57.5748, 9.0000, 0.0147, 0.6306
3, 548, 4.8102, 4.0000, 0.0004, 0.0238, 9.3000, 0.3212, -721.5400, 2205.1575, 14.0000, 24.9091, 0.0001, 0.5071, 122.7302, 0.8178, 0.1547, 53.0000, 0.0338, 10.1143, 1.6058, 7.7299, 5.6000, 45.6983, 9.6300, 13.0735, 16.6790, 81.4795, 20.0000, 0.0038, 0.6312
4, 2148, 4.8616, 4.0000, 0.0007, 0.0323, 7.5000, 0.3774, -770.7900, 2175.4047, 14.0000, 26.5000, 0.0002, 0.4824, 125.2595, 0.7866, 0.1638, 24.0000, 0.0346, 9.9284, 1.5031, 7.6918, 6.4000, 52.7715, 9.2200, 12.4821, 16.3862, 79.8343, 9.0000, 0.0173, 0.6353
5, 3018, 4.8304, 4.0000, 0.0003, 0.0251, 7.4000, 0.3884, -589.3600, 2399.1631, 11.0000, 20.3636, 0.0001, 0.4658, 162.1740, 0.8066, 0.1650, 50.0000, 0.0324, 10.3862, 1.5402, 7.8616, 3.1000, 55.8668, 8.4300, 10.5259, 14.2169, 61.6622, 16.0000, 0.0016, 0.5855
6, 4257, 4.7956, 4.0000, 0.0008, 0.0377, 8.3000, 0.2920, -796.4300, 2189.3915, 10.5000, 27.4000, 0.0002, 0.5141, 121.0077, 0.7964, 0.1590, 25.0000, 0.0349, 9.7053, 1.4672, 8.4234, 5.7000, 54.9028, 9.1100, 12.4084, 15.6315, 82.6393, 2.0000, 0.0070, 0.6549
7, 4977, 4.7680, 4.0000, 0.0005, 0.0237, 7.7000, 0.3867, -655.9400, 2287.3387, 11.5000, 22.6250, 0.0001, 0.4709, 165.1689, 0.8131, 0.1632, 37.0000, 0.0227, 10.2225, 1.5083, 7.3260, 7.6000, 56.2695, 8.4300, 11.0315, 14.1329, 60.5441, 9.0000, 0.0000, 0.5979
8, 5991, 4.7062, 4.0000, 0.0005, 0.0315, 7.2000, 0.3402, -624.9100, 2125.9570, 11.0000, 21.5556, 0.0002, 0.4554, 182.3351, 0.8004, 0.1662, 34.0000, 0.0364, 10.3463, 1.4485, 7.6753, 3.1000, 62.4169, 8.3000, 9.9084, 13.1583, 54.8441, 6.0000, 0.0020, 0.5842
9, 7011, 3.3902, 4.0000, 0.0014, 0.0567, 6.7000, 0.2927, -1155.0300, 1893.4274, 18.5000, 39.5000, 0.0006, 0.5375, 150.0000, 0.7966, 0.1642, 6.0000, 0.0417, 9.0209, 1.4634, 8.0732, 10.1000, 62.2226, 8.9500, 9.6733, 22.3823, 66.6667, 4.0000, 0.0000, 0.6875
10, 7208, 5.3448, 4.0000, 0.0007, 0.0358, 6.9000, 0.3879, -756.7200, 2920.5207, 10.5000, 26.0000, 0.0002, 0.6269, 77.9684, 0.7924, 0.1695, 28.0000, 0.0336, 9.1910, 1.3621, 7.7931, 7.6000, 68.0560, 8.2300, 9.5304, 14.0923, 128.2571, 2.0000, 0.0000, 0.7463
