Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 4.0000, 4.0000, 0.0000, 0.0000, 19.1000, 0.0000, -212187.2500, 1933.8035, 11.5000, 7169.0000, 0.0000, 0.1604, 119.4528, 0.8053, 0.1597, 0.0000, 0.0316, 11.2848, 3.0000, 13.0000, 13.0000, -46.9737, 361.6800, 19.8134, 2874.1957, 83.7151, 503.0000, 0.0077, 0.2626
2, 20, 4.5156, 5.0000, 0.0020, 0.0217, 12.1000, 0.3125, -631.6300, 1745.6895, 12.0000, 22.0000, 0.0007, 0.5507, 121.8231, 0.8249, 0.1429, 11.0000, 0.0415, 8.6748, 1.8281, 8.1562, 7.8000, 30.5223, 10.9100, 14.3019, 21.5273, 82.0862, 6.0000, 0.0115, 0.7246
3, 437, 3.9429, 4.0000, 0.0004, 0.0521, 9.1000, 0.2952, -1020.4400, 3257.7722, 14.5000, 35.0000, 0.0003, 0.5741, 173.1824, 0.7934, 0.1544, 19.0000, 0.0367, 9.3790, 1.4286, 8.5238, 6.4000, 50.4529, 9.6100, 14.9171, 18.9524, 57.7426, 4.0000, 0.0000, 0.6759
4, 958, 4.2623, 4.0000, 0.0022, 0.0201, 7.8000, 0.4262, -587.9500, 1756.4643, 11.0000, 20.3333, 0.0005, 0.6250, 92.7734, 0.8190, 0.1609, 16.0000, 0.0172, 8.3482, 1.6066, 6.7377, 3.1000, 50.2819, 9.0900, 11.2974, 16.0022, 107.7895, 5.0000, 0.0000, 0.7812
5, 1309, 4.5169, 4.0000, 0.0010, 0.0386, 11.7000, 0.2373, -679.8000, 2273.0909, 11.5000, 23.6000, 0.0003, 0.5528, 179.7872, 0.7878, 0.1424, 12.0000, 0.0519, 9.4477, 1.6949, 8.0847, 5.7000, 39.4912, 9.6900, 13.6140, 17.5756, 55.6213, 11.0000, 0.0312, 0.6829
6, 1986, 4.5491, 4.0000, 0.0003, 0.0247, 8.2000, 0.4255, -799.6800, 2109.7140, 12.5000, 27.5000, 0.0001, 0.4366, 122.7435, 0.8118, 0.1609, 68.0000, 0.0234, 10.5613, 1.5527, 7.1600, 6.3000, 47.5618, 8.6100, 13.4572, 16.9636, 81.4707, 20.0000, 0.0026, 0.5669
7, 3530, 4.2362, 4.0000, 0.0004, 0.0175, 5.1000, 0.4523, -971.2200, 2244.3612, 17.0000, 33.1667, 0.0002, 0.4265, 289.7924, 0.8027, 0.1798, 43.0000, 0.0350, 10.6910, 1.3618, 5.4271, 3.1000, 57.9618, 8.1500, 13.4143, 17.0858, 34.5075, 1.0000, 0.0000, 0.5392
8, 4562, 4.6016, 4.0000, 0.0008, 0.0251, 8.3000, 0.4219, -743.1500, 2345.1480, 11.0000, 25.6000, 0.0002, 0.5414, 116.4566, 0.8159, 0.1590, 34.0000, 0.0153, 9.4977, 1.4922, 6.8750, 5.7000, 54.6119, 8.5900, 12.0018, 15.5525, 85.8689, 5.0000, 0.0000, 0.6842
9, 5282, 4.8317, 4.0000, 0.0004, 0.0249, 6.9000, 0.4063, -919.5900, 2248.7329, 11.5000, 31.5000, 0.0001, 0.4167, 122.1232, 0.8065, 0.1680, 72.0000, 0.0355, 10.7069, 1.5143, 7.3619, 6.7000, 46.7539, 8.5100, 14.5636, 17.5524, 81.8846, 16.0000, 0.0006, 0.5494
10, 6975, 4.7196, 4.0000, 0.0006, 0.0169, 5.0000, 0.4720, -693.4100, 1803.5642, 8.0000, 23.7778, 0.0002, 0.4350, 130.7084, 0.8027, 0.1804, 56.0000, 0.0276, 10.4551, 1.4252, 6.9439, 5.0000, 62.1258, 7.6500, 10.5011, 13.6233, 76.5062, 7.0000, 0.0000, 0.5740
11, 8103, 4.9895, 4.0000, 0.0004, 0.0190, 7.1000, 0.3937, -854.4600, 1867.7369, 19.0000, 29.3077, 0.0001, 0.3868, 116.6728, 0.8140, 0.1670, 96.0000, 0.0323, 10.8199, 1.5407, 7.4121, 7.0000, 46.7460, 8.3000, 14.0201, 16.6575, 85.7098, 19.0000, 0.0000, 0.5344
12, 10214, 4.0709, 4.0000, 0.0003, 0.0406, 9.7000, 0.3277, -780.2100, 2181.3045, 14.5000, 26.9091, 0.0001, 0.3684, 175.5107, 0.8031, 0.1525, 48.0000, 0.0400, 11.2821, 1.5676, 8.2399, 3.1000, 46.9061, 8.7600, 13.4018, 17.3853, 56.9766, 20.0000, 0.0031, 0.4836
13, 11817, 4.9624, 5.0000, 0.0007, 0.0205, 10.4000, 0.3548, -769.3700, 2656.4212, 15.5000, 26.5714, 0.0002, 0.5078, 117.5870, 0.8219, 0.1490, 32.0000, 0.0111, 9.8806, 1.6290, 7.5269, 6.2000, 42.0489, 10.1900, 13.9954, 18.8006, 85.0434, 17.0000, 0.0086, 0.6528
14, 12988, 4.7547, 4.0000, 0.0004, 0.0167, 6.3000, 0.4560, -1098.0800, 1855.8080, 20.0000, 37.5000, 0.0001, 0.3984, 131.4290, 0.8087, 0.1726, 87.0000, 0.0147, 10.7624, 1.4853, 6.2960, 5.7000, 43.1133, 8.7900, 16.5619, 20.4400, 76.0867, 21.0000, 0.0020, 0.5417
15, 15030, 4.6214, 4.0000, 0.0005, 0.0342, 10.3000, 0.3333, -882.0800, 1873.2748, 15.5000, 30.3750, 0.0002, 0.4073, 113.8137, 0.8132, 0.1496, 48.0000, 0.0327, 10.5858, 1.5926, 7.9588, 6.0000, 41.2710, 9.2800, 15.0488, 18.4051, 87.8629, 20.0000, 0.0030, 0.5605
16, 16377, 4.5795, 4.0000, 0.0012, 0.0245, 8.2000, 0.3295, -853.8900, 2564.2929, 15.0000, 29.3333, 0.0004, 0.5714, 147.3252, 0.8160, 0.1595, 12.0000, 0.0368, 9.0257, 1.4773, 7.9318, 9.7000, 52.0844, 9.6000, 13.2818, 18.0970, 67.8770, 6.0000, 0.0000, 0.7143
17, 16869, 3.5238, 3.0000, 0.0022, 0.0486, 6.1000, 0.3810, -920.4800, 1468.9296, 14.5000, 31.5000, 0.0008, 0.4844, 205.0781, 0.7812, 0.1701, 9.0000, 0.0521, 8.9053, 1.3968, 7.1746, 7.2000, 56.6911, 8.6500, 13.1775, 17.0444, 48.7619, 4.0000, 0.0000, 0.6562
18, 17160, 4.9643, 4.0000, 0.0007, 0.0218, 9.8000, 0.3155, -812.4400, 2111.0732, 14.0000, 28.0000, 0.0002, 0.4540, 120.8878, 0.8222, 0.1519, 44.0000, 0.0477, 10.1070, 1.6369, 7.8512, 6.4000, 39.9329, 10.2000, 14.6455, 19.2952, 82.7213, 6.0000, 0.0040, 0.6092
19, 18170, 4.1683, 4.0000, 0.0007, 0.0233, 7.9000, 0.4059, -1480.7700, 2378.5621, 25.0000, 50.5000, 0.0003, 0.5825, 245.0749, 0.8029, 0.1613, 16.0000, 0.0197, 9.3172, 1.6040, 5.9208, 11.2000, 19.8825, 10.2800, 23.0317, 28.1208, 40.8038, 5.0000, 0.0125, 0.6796
20, 18731, 4.7125, 4.0000, 0.0018, 0.0326, 8.3000, 0.2625, -774.7900, 1506.3217, 12.5000, 26.6667, 0.0006, 0.5422, 142.2558, 0.7506, 0.1585, 7.0000, 0.0793, 8.9477, 1.6625, 8.5750, 3.1000, 39.1208, 9.5200, 14.4275, 18.6667, 70.2959, 4.0000, 0.0583, 0.7108
21, 19163, 4.6285, 4.0000, 0.0003, 0.0185, 9.3000, 0.3911, -1044.0100, 2063.9518, 15.0000, 35.8000, 0.0001, 0.3787, 140.3233, 0.8221, 0.1552, 72.0000, 0.0350, 10.9918, 1.5475, 7.2821, 5.7000, 39.5807, 9.6300, 16.6323, 21.3591, 71.2640, 24.0000, 0.0043, 0.5150
22, 21279, 5.0455, 4.0000, 0.0013, 0.0150, 8.8000, 0.4091, -853.0600, 2238.6684, 17.5000, 29.3333, 0.0003, 0.6044, 142.4949, 0.8289, 0.1560, 19.0000, 0.0395, 8.9231, 1.6477, 7.2727, 3.1000, 37.6639, 10.3000, 15.2932, 20.3697, 70.1780, 11.0000, 0.0000, 0.7363
23, 21814, 4.6667, 4.0000, 0.0006, 0.0216, 8.3000, 0.3984, -1199.1600, 2127.4920, 19.5000, 41.0000, 0.0002, 0.5714, 109.5994, 0.8187, 0.1597, 28.0000, 0.0129, 9.3843, 1.5610, 6.5772, 7.8000, 33.1615, 10.0600, 18.8195, 22.5789, 91.2414, 8.0000, 0.0000, 0.6984
24, 22512, 4.3049, 4.0000, 0.0010, 0.0183, 9.1000, 0.4024, -793.5300, 2129.9143, 15.5000, 27.3333, 0.0004, 0.5882, 163.3218, 0.8272, 0.1545, 20.0000, 0.0244, 8.9407, 1.5976, 6.5366, 8.8000, 43.9380, 9.6400, 13.9212, 18.2504, 61.2288, 8.0000, 0.0000, 0.7176
25, 23007, 4.8692, 5.0000, 0.0007, 0.0185, 10.5000, 0.3692, -944.7300, 2086.0862, 21.0000, 32.5000, 0.0002, 0.5672, 110.2695, 0.8333, 0.1481, 31.0000, 0.0148, 9.4117, 1.6538, 7.5538, 3.1000, 33.9321, 9.9600, 16.6004, 21.6154, 90.6869, 14.0000, 0.0000, 0.7015
