Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 3.0000, 4.0000, 0.0026, 0.0000, 7.3000, 0.0000, -1613.9700, 1493.6424, 27.5000, 55.0000, 0.0007, 0.5893, 140.3061, 0.7947, 0.1656, 0.0000, 0.0530, 8.3015, 0.5000, 13.5000, 13.0000, 162.5050, 10.5900, -8.9100, 27.8182, 71.2727, 3.0000, 0.0132, 0.7500
2, 15, 4.0286, 4.0000, 0.0009, 0.0232, 7.1000, 0.3571, -1037.6900, 1523.4579, 13.5000, 35.5000, 0.0002, 0.4521, 171.7020, 0.7939, 0.1681, 23.0000, 0.0506, 10.0467, 1.5214, 7.2429, 6.0000, 42.5971, 8.8600, 16.0129, 19.2704, 58.2404, 6.0000, 0.0152, 0.6027
3, 794, 4.4258, 4.0000, 0.0006, 0.0214, 9.9000, 0.3419, -748.2600, 2497.6962, 8.0000, 25.8333, 0.0001, 0.5500, 102.3438, 0.8226, 0.1517, 29.0000, 0.0171, 9.6284, 1.6194, 7.6129, 3.1000, 43.6167, 9.9500, 13.5934, 18.3333, 97.7099, 6.0000, 0.0043, 0.6813
4, 1733, 4.6716, 5.0000, 0.0003, 0.0205, 10.6000, 0.3507, -775.9600, 3069.3129, 12.5000, 26.8000, 0.0002, 0.5827, 139.7443, 0.8183, 0.1480, 24.0000, 0.0193, 9.5316, 1.6194, 7.4030, 6.7000, 42.6315, 10.4200, 13.9710, 17.5857, 71.5593, 15.0000, 0.0132, 0.6835
5, 2567, 4.2188, 4.0000, 0.0009, 0.0253, 6.7000, 0.4062, -618.9400, 1916.5520, 11.5000, 21.3333, 0.0003, 0.4773, 152.6630, 0.8059, 0.1688, 15.0000, 0.0464, 9.8103, 1.4453, 6.7188, 5.7000, 62.9082, 8.6400, 9.7847, 13.8458, 65.5038, 8.0000, 0.0000, 0.6288
6, 3281, 4.7822, 4.0000, 0.0008, 0.0347, 8.3000, 0.2871, -732.8800, 2061.4205, 12.5000, 25.2500, 0.0003, 0.5619, 235.8277, 0.7879, 0.1590, 17.0000, 0.0274, 9.3527, 1.5644, 6.6238, 3.1000, 48.8617, 8.3500, 12.7169, 16.8327, 42.4038, 7.0000, 0.0183, 0.6762
7, 3831, 4.7076, 4.0000, 0.0005, 0.0220, 8.4000, 0.3430, -730.7900, 2144.9741, 7.5000, 25.1818, 0.0001, 0.4514, 127.0737, 0.8151, 0.1597, 51.0000, 0.0239, 10.3919, 1.4368, 7.8845, 4.9000, 59.7202, 8.7800, 11.1854, 14.4049, 78.6945, 13.0000, 0.0031, 0.5903
8, 5424, 4.4364, 4.0000, 0.0011, 0.0175, 7.4000, 0.3727, -637.7800, 2203.3502, 11.0000, 22.0000, 0.0003, 0.5526, 140.0431, 0.8118, 0.1643, 21.0000, 0.0175, 9.3350, 1.4636, 6.8182, 3.1000, 60.6814, 8.4700, 10.2609, 12.4364, 71.4066, 6.0000, 0.0064, 0.6930
9, 6054, 4.7719, 4.0000, 0.0015, 0.0156, 6.4000, 0.3509, -550.1500, 2223.6782, 8.5000, 19.0000, 0.0005, 0.6333, 211.1111, 0.7906, 0.1688, 14.0000, 0.0250, 8.3923, 1.3860, 7.1053, 7.8000, 70.2974, 7.7400, 8.1744, 11.1088, 47.3684, 2.0000, 0.0250, 0.7500
10, 6377, 5.0241, 5.0000, 0.0007, 0.0221, 11.8000, 0.2892, -595.2700, 3093.1884, 11.0000, 20.7500, 0.0003, 0.6552, 153.2567, 0.8364, 0.1415, 16.0000, 0.0184, 8.8300, 1.7470, 8.0361, 7.2000, 37.9786, 10.8400, 13.1170, 17.4566, 65.2500, 6.0000, 0.0000, 0.7471
