Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 3.0000, 4.0000, 0.0000, 0.0000, 16.8000, 0.0000, -364509.2300, 2024.5178, 14.5000, 12315.0000, 0.0000, 0.1313, 132.4432, 0.8048, 0.1604, 0.0000, 0.0343, 11.0846, 2.5000, 14.5000, 8.8000, -4.6699, 616.8000, 13.9119, 4932.5045, 75.5041, 910.0000, 0.0103, 0.2245
2, 18, 3.6364, 4.0000, 0.0016, 0.0226, 8.4000, 0.3766, -1154.1700, 1747.7791, 21.0000, 39.5000, 0.0004, 0.5309, 176.8023, 0.7918, 0.1584, 5.0000, 0.0629, 9.0773, 1.7922, 6.5974, 12.2000, 16.1367, 10.8600, 20.5731, 24.4076, 56.5603, 6.0000, 0.0260, 0.6790
3, 463, 3.9515, 4.0000, 0.0004, 0.0254, 9.4000, 0.3981, -1000.4300, 2079.5904, 15.0000, 34.3333, 0.0001, 0.4787, 157.6784, 0.8169, 0.1542, 38.0000, 0.0492, 10.2716, 1.6942, 6.6408, 5.5000, 28.6595, 10.4300, 17.7913, 21.5003, 63.4202, 19.0000, 0.0034, 0.5972
4, 1645, 3.7905, 4.0000, 0.0006, 0.0269, 10.1000, 0.3667, -760.2500, 2651.2742, 15.5000, 26.2500, 0.0002, 0.4516, 205.1435, 0.8129, 0.1505, 28.0000, 0.0496, 10.4650, 1.7762, 6.6810, 7.6000, 29.9255, 10.1800, 15.6065, 20.5952, 48.7464, 27.0000, 0.0098, 0.5714
5, 2876, 4.5000, 5.0000, 0.0012, 0.0111, 12.9000, 0.3974, -749.4400, 2105.7426, 17.0000, 26.0000, 0.0003, 0.6049, 118.8843, 0.8516, 0.1373, 17.0000, 0.0130, 8.7847, 2.0513, 6.8333, 8.8000, 6.9065, 11.3600, 18.7551, 22.7077, 84.1154, 14.0000, 0.0000, 0.7407
6, 3417, 4.5449, 4.0000, 0.0009, 0.0305, 8.9000, 0.3315, -570.1700, 1848.1695, 11.0000, 19.7778, 0.0002, 0.4076, 118.7382, 0.8069, 0.1565, 29.0000, 0.0407, 10.2859, 1.6236, 7.1966, 6.0000, 49.4044, 8.5600, 11.2818, 14.2032, 84.2189, 10.0000, 0.0061, 0.5870
7, 4403, 4.5412, 4.0000, 0.0004, 0.0233, 7.6000, 0.3918, -704.2400, 2380.2915, 11.0000, 24.2500, 0.0001, 0.5025, 118.8089, 0.8125, 0.1642, 38.0000, 0.0224, 10.0568, 1.5412, 6.7165, 8.1000, 51.8326, 8.5300, 12.0541, 14.6485, 84.1688, 9.0000, 0.0000, 0.6269
8, 5477, 4.6200, 4.0000, 0.0006, 0.0220, 7.1000, 0.3933, -874.9300, 2457.5973, 13.0000, 30.0000, 0.0002, 0.5548, 108.2206, 0.7873, 0.1663, 32.0000, 0.0452, 9.5963, 1.5400, 6.7200, 6.7000, 46.1010, 9.3000, 14.2820, 17.0667, 92.4038, 3.0000, 0.0244, 0.6839
9, 6297, 4.5287, 4.0000, 0.0007, 0.0280, 8.1000, 0.3694, -915.2000, 2001.4306, 14.0000, 31.4000, 0.0002, 0.4845, 118.8226, 0.8042, 0.1608, 27.0000, 0.0361, 9.9485, 1.6051, 6.7325, 8.2000, 39.1729, 9.4100, 15.5961, 19.1842, 84.1591, 9.0000, 0.0047, 0.6273
10, 7157, 4.2931, 4.0000, 0.0011, 0.0190, 7.0000, 0.4569, -1131.6100, 1830.1322, 19.5000, 38.6667, 0.0003, 0.5254, 120.6550, 0.8079, 0.1667, 27.0000, 0.0333, 9.4420, 1.5948, 6.2069, 7.8000, 32.6659, 10.1000, 18.3090, 21.6736, 82.8810, 10.0000, 0.0063, 0.6780
11, 7789, 4.0840, 4.0000, 0.0009, 0.0208, 9.9000, 0.4370, -864.1800, 2097.5042, 15.5000, 29.7500, 0.0002, 0.5203, 140.1282, 0.8222, 0.1514, 27.0000, 0.0347, 9.5818, 1.6303, 6.6303, 3.1000, 38.7194, 10.7600, 15.2495, 18.2866, 71.3632, 12.0000, 0.0056, 0.6585
12, 8511, 4.3285, 4.0000, 0.0004, 0.0232, 8.0000, 0.4234, -999.6300, 2057.4466, 19.5000, 34.2500, 0.0002, 0.5745, 90.5387, 0.8003, 0.1611, 38.0000, 0.0309, 9.4419, 1.6058, 6.7007, 11.7000, 36.2172, 10.0400, 16.7164, 19.5394, 110.4500, 9.0000, 0.0155, 0.7021
13, 9289, 4.3054, 4.0000, 0.0004, 0.0244, 7.5000, 0.4089, -844.9500, 2125.2824, 14.5000, 29.0000, 0.0001, 0.4905, 133.3333, 0.7919, 0.1647, 41.0000, 0.0335, 10.1545, 1.6108, 6.2069, 6.2000, 41.1232, 9.1400, 14.7279, 17.9054, 75.0000, 14.0000, 0.0190, 0.6143
14, 10396, 4.3774, 4.0000, 0.0010, 0.0222, 7.8000, 0.4214, -770.4500, 1708.4085, 19.0000, 26.5000, 0.0002, 0.4424, 170.4316, 0.8078, 0.1622, 29.0000, 0.0367, 10.1398, 1.5723, 6.3082, 7.8000, 46.9186, 9.1600, 13.2985, 16.1346, 58.6746, 8.0000, 0.0078, 0.6000
15, 11298, 4.4944, 4.0000, 0.0005, 0.0218, 6.7000, 0.4167, -1206.6900, 2204.6384, 18.0000, 41.2000, 0.0002, 0.4550, 155.4323, 0.7986, 0.1684, 31.0000, 0.0437, 10.3377, 1.4611, 6.4167, 5.7000, 46.6850, 9.2000, 15.6911, 21.1402, 64.3367, 7.0000, 0.0125, 0.5877
16, 12262, 4.6970, 4.0000, 0.0008, 0.0191, 8.5000, 0.3737, -1397.1600, 2555.8650, 27.5000, 47.6667, 0.0002, 0.5685, 82.5671, 0.7938, 0.1640, 20.0000, 0.0298, 9.4111, 1.6667, 6.8081, 10.5000, 32.3400, 10.2200, 16.9467, 25.2205, 121.1136, 4.0000, 0.0236, 0.7123
17, 12839, 4.0386, 4.0000, 0.0005, 0.0238, 7.3000, 0.4686, -862.0200, 1961.0643, 14.5000, 29.5714, 0.0002, 0.4112, 128.8322, 0.8072, 0.1655, 47.0000, 0.0361, 10.5403, 1.5652, 6.4251, 8.8000, 44.4026, 9.6000, 14.4124, 16.8527, 77.6203, 14.0000, 0.0035, 0.5607
18, 13977, 4.2609, 4.0000, 0.0004, 0.0248, 8.4000, 0.4022, -893.0500, 2030.1000, 12.0000, 30.6667, 0.0001, 0.5105, 130.7479, 0.8086, 0.1590, 36.0000, 0.0286, 10.0041, 1.6522, 6.6630, 6.4000, 35.9344, 9.7300, 15.8657, 18.7884, 76.4831, 14.0000, 0.0076, 0.6316
19, 15029, 4.2515, 4.0000, 0.0005, 0.0254, 10.1000, 0.3832, -971.8600, 1658.9359, 16.0000, 33.4000, 0.0002, 0.4620, 128.5866, 0.8162, 0.1503, 26.0000, 0.0244, 10.1046, 1.6108, 7.0778, 8.8000, 36.6621, 10.0900, 16.4432, 20.0666, 77.7686, 18.0000, 0.0081, 0.6082
20, 16016, 4.1658, 4.0000, 0.0007, 0.0250, 8.9000, 0.3618, -826.2900, 1712.5398, 11.5000, 28.4286, 0.0002, 0.4363, 121.1073, 0.8075, 0.1569, 26.0000, 0.0401, 10.2869, 1.5779, 7.3518, 3.1000, 44.4906, 9.5400, 14.1162, 17.2006, 82.5714, 17.0000, 0.0107, 0.5931
21, 17140, 4.4074, 4.0000, 0.0006, 0.0266, 9.2000, 0.3598, -783.6100, 2193.7682, 11.0000, 27.0000, 0.0002, 0.4643, 154.6231, 0.8053, 0.1552, 33.0000, 0.0358, 10.2447, 1.6614, 6.8624, 3.1000, 38.8776, 10.2900, 14.5442, 19.2656, 64.6734, 8.0000, 0.0119, 0.5969
