Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 2.0000, 4.0000, 0.0001, 0.0000, 40.3000, 0.0000, -91861.9200, 2038.1509, 19.5000, 3104.0000, 0.0000, 0.1884, 133.7328, 0.8031, 0.1551, 0.0000, 0.0210, 12.0093, 1.0000, 16.0000, 14.6000, 122.2262, 160.3300, -3.7866, 1247.2013, 74.7759, 311.0000, 0.0062, 0.2947
2, 16, 3.7759, 4.0000, 0.0007, 0.0439, 7.2000, 0.3707, -1140.7900, 1690.5717, 19.0000, 39.0000, 0.0004, 0.4917, 109.7222, 0.7730, 0.1661, 15.0000, 0.0263, 9.6110, 1.3621, 8.0776, 7.8000, 52.3573, 8.9900, 15.5624, 19.7026, 91.1392, 7.0000, 0.0082, 0.6500
3, 611, 4.0370, 4.0000, 0.0018, 0.0311, 10.5000, 0.3210, -382.2900, 1757.7797, 5.5000, 13.5000, 0.0004, 0.5632, 116.2637, 0.8195, 0.1473, 19.0000, 0.0145, 8.9343, 1.4691, 8.2099, 5.5000, 68.8436, 8.1200, 7.0108, 11.3259, 86.0114, 5.0000, 0.0021, 0.7241
4, 1096, 3.2836, 4.0000, 0.0013, 0.0669, 10.5000, 0.2537, -643.6000, 1643.6526, 10.5000, 22.3333, 0.0006, 0.5072, 226.8431, 0.7508, 0.1459, 9.0000, 0.0547, 9.0244, 1.3582, 8.5373, 7.8000, 69.2622, 9.0900, 9.1469, 13.1124, 44.0833, 7.0000, 0.0365, 0.6522
5, 1428, 3.7250, 4.0000, 0.0011, 0.0329, 7.4000, 0.3500, -696.9800, 1675.6221, 12.0000, 24.0000, 0.0004, 0.4480, 110.0800, 0.7997, 0.1643, 16.0000, 0.0156, 9.7495, 1.3250, 7.2667, 3.1000, 70.3800, 8.1100, 9.4050, 13.2667, 90.8430, 9.0000, 0.0031, 0.6320
6, 2070, 3.9160, 4.0000, 0.0011, 0.0312, 8.7000, 0.3664, -469.6700, 2023.2069, 7.5000, 16.3750, 0.0003, 0.4855, 121.8231, 0.8117, 0.1572, 16.0000, 0.0136, 9.7447, 1.5038, 7.2977, 5.1000, 62.9915, 8.3400, 8.5413, 12.9622, 82.0862, 10.0000, 0.0000, 0.6449
7, 2811, 4.0455, 4.0000, 0.0041, 0.0310, 9.4000, 0.4318, -309.6400, 1655.5830, 5.5000, 11.0000, 0.0011, 0.5625, 138.8889, 0.8178, 0.1512, 15.0000, 0.0194, 8.0855, 1.3409, 8.4773, 3.1000, 82.2291, 7.8000, 4.5227, 8.0364, 72.0000, 6.0000, 0.0000, 0.7500
8, 3072, 3.9074, 4.0000, 0.0024, 0.0265, 8.6000, 0.4444, -784.1900, 1905.8479, 13.5000, 27.0000, 0.0005, 0.6607, 95.6633, 0.8179, 0.1556, 19.0000, 0.0099, 8.0968, 1.5185, 6.4444, 7.2000, 50.9633, 9.2100, 12.8585, 16.7259, 104.5333, 3.0000, 0.0000, 0.8036
9, 3377, 4.0828, 4.0000, 0.0007, 0.0214, 6.3000, 0.4260, -702.5500, 2277.6750, 11.0000, 24.1429, 0.0002, 0.5143, 121.4694, 0.7912, 0.1713, 34.0000, 0.0278, 9.8115, 1.4852, 6.9586, 5.3000, 56.6815, 8.8900, 11.3512, 15.3376, 82.3253, 9.0000, 0.0161, 0.6571
10, 4314, 3.8235, 4.0000, 0.0004, 0.0273, 9.5000, 0.3676, -846.6400, 2616.5150, 15.0000, 29.1429, 0.0002, 0.4619, 150.1134, 0.8123, 0.1536, 34.0000, 0.0247, 10.3163, 1.5882, 7.1765, 6.9000, 42.8903, 9.9700, 14.5169, 19.3042, 66.6163, 17.0000, 0.0068, 0.5905
